SEASON,GAME_ID,GAME_DATE
2022-23,0022200351,2022-12-04
2022-23,0022200352,2022-12-05
2022-23,0022200353,2022-12-05
2022-23,0022200354,2022-12-05
2022-23,0022200355,2022-12-05
2022-23,0022200356,2022-12-05
2022-23,0022200357,2022-12-05
2022-23,0022200358,2022-12-05
2022-23,0022200359,2022-12-05
2022-23,0022200360,2022-12-06
2022-23,0022200361,2022-12-06
2022-23,0022200362,2022-12-06
2022-23,0022200363,2022-12-07
2022-23,0022200364,2022-12-07
2022-23,0022200365,2022-12-07
2022-23,0022200366,2022-12-07
2022-23,0022200367,2022-12-07
2022-23,0022200368,2022-12-07
2022-23,0022200369,2022-12-07
2022-23,0022200370,2022-12-07
2022-23,0022200371,2022-12-07
2022-23,0022200372,2022-12-07
2022-23,0022200373,2022-12-07
2022-23,0022200374,2022-12-08
2022-23,0022200375,2022-12-08
2022-23,0022200376,2022-12-08
2022-23,0022200377,2022-12-09
2022-23,0022200378,2022-12-09
2022-23,0022200379,2022-12-09
2022-23,0022200380,2022-12-09
2022-23,0022200381,2022-12-09
2022-23,0022200382,2022-12-09
2022-23,0022200383,2022-12-09
2022-23,0022200384,2022-12-09
2022-23,0022200385,2022-12-09
2022-23,0022200386,2022-12-09
2022-23,0022200387,2022-12-10
2022-23,0022200388,2022-12-10
2022-23,0022200389,2022-12-10
2022-23,0022200390,2022-12-10
2022-23,0022200391,2022-12-10
2022-23,0022200392,2022-12-10
2022-23,0022200393,2022-12-10
2022-23,0022200394,2022-12-10
2022-23,0022200395,2022-12-11
2022-23,0022200396,2022-12-11
2022-23,0022200397,2022-12-11
2022-23,0022200398,2022-12-11
2022-23,0022200399,2022-12-11
2022-23,0022200400,2022-12-11
2022-23,0022200401,2022-12-11
2022-23,0022200402,2022-12-12
2022-23,0022200403,2022-12-12
2022-23,0022200404,2022-12-12
2022-23,0022200405,2022-12-12
2022-23,0022200406,2022-12-12
2022-23,0022200407,2022-12-12
2022-23,0022200408,2022-12-12
2022-23,0022200409,2022-12-13
2022-23,0022200410,2022-12-13
2022-23,0022200411,2022-12-13
2022-23,0022200412,2022-12-13
2022-23,0022200413,2022-12-13
